Date,In,Out,Station,Seq,Route,InVerifyDate,OutVerifyDate
2000/01/01,129019,143648,動物園站,1,文湖線,89年1月,
2000/02/01,164784,204181,動物園站,1,文湖線,89年2月,
2000/03/01,127072,134097,動物園站,1,文湖線,89年3月,
2000/04/01,148958,160883,動物園站,1,文湖線,89年4月,
2000/05/01,125363,131901,動物園站,1,文湖線,89年5月,
2000/06/01,110870,109231,動物園站,1,文湖線,89年6月,
2000/07/01,149906,152398,動物園站,1,文湖線,89年7月,
2000/08/01,156456,159427,動物園站,1,文湖線,89年8月,
2000/09/01,164511,170220,動物園站,1,文湖線,89年9月,
2000/10/01,224969,258660,動物園站,1,文湖線,89年10月,
2000/11/01,196633,199288,動物園站,1,文湖線,89年11月,
2000/12/01,217829,231705,動物園站,1,文湖線,89年12月,
2001/01/01,180808,226920,動物園站,1,文湖線,90年1月,
2001/02/01,250870,291969,動物園站,1,文湖線,90年2月,
2001/03/01,166277,169894,動物園站,1,文湖線,90年3月,
2001/04/01,180816,189365,動物園站,1,文湖線,90年4月,
2001/05/01,151468,151240,動物園站,1,文湖線,90年5月,
2001/06/01,138838,137731,動物園站,1,文湖線,90年6月,
2001/07/01,160716,166514,動物園站,1,文湖線,90年7月,
2001/08/01,178205,184708,動物園站,1,文湖線,90年8月,
2001/09/01,100795,96963,動物園站,1,文湖線,90年9月,
2001/10/01,143160,144036,動物園站,1,文湖線,90年10月,
2001/11/01,152527,152796,動物園站,1,文湖線,90年11月,
2001/12/01,167429,173950,動物園站,1,文湖線,90年12月,
2002/01/01,149896,151447,動物園站,1,文湖線,91年1月,
2002/02/01,170922,194910,動物園站,1,文湖線,91年2月,
2002/03/01,158835,167917,動物園站,1,文湖線,91年3月,
2002/04/01,167104,175661,動物園站,1,文湖線,91年4月,
2002/05/01,154128,153255,動物園站,1,文湖線,91年5月,
2002/06/01,137952,135706,動物園站,1,文湖線,91年6月,
2002/07/01,165269,158417,動物園站,1,文湖線,91年7月,
2002/08/01,181994,177697,動物園站,1,文湖線,91年8月,
2002/09/01,148585,146617,動物園站,1,文湖線,91年9月,
2002/10/01,197411,198896,動物園站,1,文湖線,91年10月,
2002/11/01,176212,175924,動物園站,1,文湖線,91年11月,
2002/12/01,176995,173828,動物園站,1,文湖線,91年12月,
2003/01/01,158059,155046,動物園站,1,文湖線,92年1月,
2003/02/01,238356,241470,動物園站,1,文湖線,92年2月,
2003/03/01,178664,180952,動物園站,1,文湖線,92年3月,
2003/04/01,131640,130848,動物園站,1,文湖線,92年4月,
2003/05/01,84836,86085,動物園站,1,文湖線,92年5月,
2003/06/01,93323,93191,動物園站,1,文湖線,92年6月,
2003/07/01,126475,123144,動物園站,1,文湖線,92年7月,
2003/08/01,146623,144114,動物園站,1,文湖線,92年8月,
2003/09/01,133982,135816,動物園站,1,文湖線,92年9月,
2003/10/01,169700,173584,動物園站,1,文湖線,92年10月,
2003/11/01,144054,146765,動物園站,1,文湖線,92年11月,
2003/12/01,141148,142201,動物園站,1,文湖線,92年12月,
2004/01/01,147190,144113,動物園站,1,文湖線,93年1月,
2004/02/01,148096,147450,動物園站,1,文湖線,93年2月,
2004/03/01,131617,131914,動物園站,1,文湖線,93年3月,
2004/04/01,168016,167382,動物園站,1,文湖線,93年4月,
2004/05/01,147527,147411,動物園站,1,文湖線,93年5月,
2004/06/01,133816,132565,動物園站,1,文湖線,93年6月,
2004/07/01,157958,155162,動物園站,1,文湖線,93年7月,
2004/08/01,143304,138505,動物園站,1,文湖線,93年8月,
2004/09/01,117990,117238,動物園站,1,文湖線,93年9月,
2004/10/01,162119,164650,動物園站,1,文湖線,93年10月,
2004/11/01,179498,177897,動物園站,1,文湖線,93年11月,
2004/12/01,157874,156211,動物園站,1,文湖線,93年12月,
2005/01/01,135115,131189,動物園站,1,文湖線,94年1月,
2005/02/01,157599,155811,動物園站,1,文湖線,94年2月,
2005/03/01,159375,155613,動物園站,1,文湖線,94年3月,
2005/04/01,165731,162378,動物園站,1,文湖線,94年4月,
2005/05/01,146753,140980,動物園站,1,文湖線,94年5月,
2005/06/01,128649,124561,動物園站,1,文湖線,94年6月,
2005/07/01,154226,150521,動物園站,1,文湖線,94年7月,
2005/08/01,156652,152668,動物園站,1,文湖線,94年8月,
2005/09/01,120505,118572,動物園站,1,文湖線,94年9月,
2005/10/01,134103,134132,動物園站,1,文湖線,94年10月,
2005/11/01,137683,136166,動物園站,1,文湖線,94年11月,
2005/12/01,138467,135713,動物園站,1,文湖線,94年12月,
2006/01/01,143581,140307,動物園站,1,文湖線,95年1月,
2006/02/01,185994,187677,動物園站,1,文湖線,95年2月,
2006/03/01,139912,138964,動物園站,1,文湖線,95年3月,
2006/04/01,145344,144504,動物園站,1,文湖線,95年4月,
2006/05/01,130315,127882,動物園站,1,文湖線,95年5月,
2006/06/01,122398,120894,動物園站,1,文湖線,95年6月,
2006/07/01,154637,152599,動物園站,1,文湖線,95年7月,
2006/08/01,170859,170266,動物園站,1,文湖線,95年8月,
2006/09/01,129634,131335,動物園站,1,文湖線,95年9月,
2006/10/01,164549,168411,動物園站,1,文湖線,95年10月,
2006/11/01,141600,143189,動物園站,1,文湖線,95年11月,
2006/12/01,146407,147357,動物園站,1,文湖線,95年12月,
2007/01/01,148037,148463,動物園站,1,文湖線,96年1月,
2007/02/01,214395,220254,動物園站,1,文湖線,96年2月,
2007/03/01,155304,154881,動物園站,1,文湖線,96年3月,
2007/04/01,156973,156005,動物園站,1,文湖線,96年4月,
2007/05/01,135845,135147,動物園站,1,文湖線,96年5月,
2007/06/01,134117,132211,動物園站,1,文湖線,96年6月,
2007/07/01,237039,236879,動物園站,1,文湖線,96年7月,
2007/08/01,195884,196218,動物園站,1,文湖線,96年8月,
2007/09/01,221320,226553,動物園站,1,文湖線,96年9月,
2007/10/01,193227,196022,動物園站,1,文湖線,96年10月,
2007/11/01,219111,221908,動物園站,1,文湖線,96年11月,
2007/12/01,286999,299016,動物園站,1,文湖線,96年12月,
2008/01/01,227192,231937,動物園站,1,文湖線,97年1月,
