BOARD_DATE,TKT_BEG,STOP_NAME,IN,OUT
20050101,175,"台南  ",18935,17046
20050102,175,"台南  ",20018,21165
20050103,175,"台南  ",12863,13556
20050104,175,"台南  ",10271,10113
20050105,175,"台南  ",10696,10640
20050106,175,"台南  ",11496,11632
20050107,175,"台南  ",19920,19051
20050108,175,"台南  ",19737,18579
20050109,175,"台南  ",21060,22501
20050110,175,"台南  ",12731,13516
20050111,175,"台南  ",9622,9426
20050112,175,"台南  ",10055,9710
20050113,175,"台南  ",10537,10421
20050114,175,"台南  ",16813,15682
20050115,175,"台南  ",16256,14847
20050116,175,"台南  ",17328,16535
20050117,175,"台南  ",11820,11751
20050118,175,"台南  ",11478,11207
20050119,175,"台南  ",13732,13202
20050120,175,"台南  ",16409,16094
20050121,175,"台南  ",22137,21989
20050122,175,"台南  ",21192,20113
20050123,175,"台南  ",22084,21764
20050124,175,"台南  ",16520,16084
20050125,175,"台南  ",14871,15073
20050126,175,"台南  ",15043,14910
20050127,175,"台南  ",15432,14917
20050128,175,"台南  ",19419,19665
20050129,175,"台南  ",19488,19119
20050130,175,"台南  ",21381,21173
20050131,175,"台南  ",17547,17455
20050201,175,"台南  ",15858,16033
20050202,175,"台南  ",15539,15767
20050203,175,"台南  ",16532,16813
20050204,175,"台南  ",18265,18795
20050205,175,"台南  ",20593,20665
20050206,175,"台南  ",19331,18969
20050207,175,"台南  ",17968,16667
20050208,175,"台南  ",12525,11171
20050209,175,"台南  ",20506,21959
20050210,175,"台南  ",21646,22544
20050211,175,"台南  ",27155,28141
20050212,175,"台南  ",27234,27791
20050213,175,"台南  ",24961,25703
20050214,175,"台南  ",19931,21399
20050215,175,"台南  ",16337,17304
20050216,175,"台南  ",15129,16557
20050217,175,"台南  ",15311,16117
20050218,175,"台南  ",20101,19353
20050219,175,"台南  ",21022,20380
20050220,175,"台南  ",21787,23627
20050221,175,"台南  ",13833,14511
20050222,175,"台南  ",12682,13251
20050223,175,"台南  ",14360,14653
20050224,175,"台南  ",14099,13773
20050225,175,"台南  ",26106,25103
20050226,175,"台南  ",24995,25515
20050227,175,"台南  ",27021,27166
20050228,175,"台南  ",28796,30105
20050301,175,"台南  ",13887,14057
20050302,175,"台南  ",12437,12590
20050303,175,"台南  ",11417,11528
20050304,175,"台南  ",21832,20808
20050305,175,"台南  ",20515,20173
20050306,175,"台南  ",25947,28069
20050307,175,"台南  ",13722,14151
20050308,175,"台南  ",11610,11475
20050309,175,"台南  ",12003,11942
20050310,175,"台南  ",12662,12644
20050311,175,"台南  ",24606,22559
20050312,175,"台南  ",22520,20841
20050313,175,"台南  ",23359,27437
20050314,175,"台南  ",13622,14630
20050315,175,"台南  ",11872,11801
20050316,175,"台南  ",12521,12410
20050317,175,"台南  ",12656,12589
20050318,175,"台南  ",23825,22196
20050319,175,"台南  ",22026,20380
20050320,175,"台南  ",26117,29055
20050321,175,"台南  ",13693,14684
20050322,175,"台南  ",11482,11398
20050323,175,"台南  ",12061,12133
20050324,175,"台南  ",12777,12424
20050325,175,"台南  ",24040,22306
20050326,175,"台南  ",23659,22787
20050327,175,"台南  ",25526,28750
20050328,175,"台南  ",13624,14454
20050329,175,"台南  ",11777,11707
20050330,175,"台南  ",12126,11845
20050331,175,"台南  ",13074,13234
20050401,175,"台南  ",27089,24469
20050402,175,"台南  ",26822,24154
20050403,175,"台南  ",24833,24112
20050404,175,"台南  ",22055,19818
20050405,175,"台南  ",24753,26673
20050406,175,"台南  ",16909,18235
20050407,175,"台南  ",13643,14542
20050408,175,"台南  ",19656,21280
20050409,175,"台南  ",20575,21880
20050410,175,"台南  ",25124,28085
20050411,175,"台南  ",13268,13958
20050412,175,"台南  ",11773,11906
20050413,175,"台南  ",11446,11416
20050414,175,"台南  ",12189,11934
20050415,175,"台南  ",21254,20233
20050416,175,"台南  ",22683,22165
20050417,175,"台南  ",23870,25571
20050418,175,"台南  ",13676,14597
20050419,175,"台南  ",11732,11805
20050420,175,"台南  ",12137,11811
20050421,175,"台南  ",13524,12841
20050422,175,"台南  ",23125,22386
20050423,175,"台南  ",21798,23693
20050424,175,"台南  ",30086,30555
20050425,175,"台南  ",14368,14562
20050426,175,"台南  ",10981,10763
20050427,175,"台南  ",11921,11743
20050428,175,"台南  ",12792,12549
20050429,175,"台南  ",22510,21652
20050430,175,"台南  ",23621,22332
20050501,175,"台南  ",24224,26176
20050502,175,"台南  ",14071,15012
20050503,175,"台南  ",11554,11559
20050504,175,"台南  ",12037,11769
20050505,175,"台南  ",13473,13081
20050506,175,"台南  ",27435,24317
20050507,175,"台南  ",26644,23076
20050508,175,"台南  ",27361,33515
20050509,175,"台南  ",15890,18350
20050510,175,"台南  ",10912,10913
20050511,175,"台南  ",12445,12462
20050512,175,"台南  ",13387,12759
20050513,175,"台南  ",22284,21711
20050514,175,"台南  ",22102,20923
20050515,175,"台南  ",25248,27292
20050516,175,"台南  ",13917,14733
20050517,175,"台南  ",11708,11803
20050518,175,"台南  ",12025,12191
20050519,175,"台南  ",12603,12835
20050520,175,"台南  ",22448,21479
20050521,175,"台南  ",22400,21200
20050522,175,"台南  ",25645,27959
20050523,175,"台南  ",13745,14440
20050524,175,"台南  ",11478,11275
20050525,175,"台南  ",12032,12064
20050526,175,"台南  ",13138,12927
20050527,175,"台南  ",23894,22271
20050528,175,"台南  ",21773,20178
20050529,175,"台南  ",24142,27418
20050530,175,"台南  ",14400,15006
20050531,175,"台南  ",11761,11767
20050601,175,"台南  ",11506,11769
20050602,175,"台南  ",11311,11380
20050603,175,"台南  ",20008,19385
20050604,175,"台南  ",20644,19860
20050605,175,"台南  ",23905,25669
20050606,175,"台南  ",13933,15023
20050607,175,"台南  ",11669,11655
20050608,175,"台南  ",12406,12360
20050609,175,"台南  ",13535,13429
20050610,175,"台南  ",26749,25235
20050611,175,"台南  ",23035,20553
20050612,175,"台南  ",23049,26695
20050613,175,"台南  ",13468,13760
20050614,175,"台南  ",10298,10290
20050615,175,"台南  ",10568,10294
20050616,175,"台南  ",11613,11559
20050617,175,"台南  ",19479,19080
20050618,175,"台南  ",18874,18432
20050619,175,"台南  ",20511,21571
20050620,175,"台南  ",13717,14312
20050621,175,"台南  ",12679,12867
20050622,175,"台南  ",13023,13024
20050623,175,"台南  ",14149,14160
20050624,175,"台南  ",20727,19731
20050625,175,"台南  ",22506,20544
20050626,175,"台南  ",22735,23235
20050627,175,"台南  ",17557,17002
20050628,175,"台南  ",14341,14203
20050629,175,"台南  ",15415,15202
20050630,175,"台南  ",18557,19050
20050701,175,"台南  ",20991,21036
20050702,175,"台南  ",20134,19881
20050703,175,"台南  ",22510,23025
20050704,175,"台南  ",17848,19113
20050705,175,"台南  ",16839,17012
20050706,175,"台南  ",16565,16585
20050707,175,"台南  ",16521,16994
20050708,175,"台南  ",20947,21117
20050709,175,"台南  ",20617,20520
20050710,175,"台南  ",24718,24675
20050711,175,"台南  ",17677,18121
20050712,175,"台南  ",15938,15969
20050713,175,"台南  ",15785,16041
20050714,175,"台南  ",15755,16078
20050715,175,"台南  ",20869,21799
20050716,175,"台南  ",21348,20888
20050717,175,"台南  ",21291,21533
20050718,175,"台南  ",201,275
20050719,175,"台南  ",10815,10951
20050720,175,"台南  ",10217,10612
20050721,175,"台南  ",14952,14995
20050722,175,"台南  ",20295,20069
20050723,175,"台南  ",20516,20133
20050724,175,"台南  ",22520,23094
20050725,175,"台南  ",16718,16835
20050726,175,"台南  ",15047,15201
20050727,175,"台南  ",15264,15472
20050728,175,"台南  ",15900,15866
20050729,175,"台南  ",19539,19743
20050730,175,"台南  ",20206,19772
20050731,175,"台南  ",22241,22520
20050801,175,"台南  ",15293,15959
20050802,175,"台南  ",13934,14299
20050803,175,"台南  ",14508,14935
20050804,175,"台南  ",13943,14132
20050805,175,"台南  ",17108,17510
20050806,175,"台南  ",20769,19551
20050807,175,"台南  ",23093,23422
20050808,175,"台南  ",15639,16622
20050809,175,"台南  ",15129,15694
20050810,175,"台南  ",15490,15681
