BOARD_DATE,TKT_BEG,STOP_NAME,IN,OUT
20050101,87,三貂嶺,29,26
20050101,231,"大華  ",19,13
20050101,232,"十分  ",304,270
20050101,233,"望古  ",15,4
20050101,234,"嶺腳  ",52,30
20050101,235,"平溪  ",118,137
20050101,236,"菁桐  ",149,161
20050102,87,三貂嶺,30,54
20050102,231,"大華  ",49,43
20050102,232,"十分  ",289,357
20050102,233,"望古  ",18,7
20050102,234,"嶺腳  ",32,18
20050102,235,"平溪  ",190,161
20050102,236,"菁桐  ",126,115
20050103,87,三貂嶺,21,16
20050103,231,"大華  ",18,12
20050103,232,"十分  ",164,194
20050103,233,"望古  ",10,7
20050103,234,"嶺腳  ",34,29
20050103,235,"平溪  ",116,115
20050103,236,"菁桐  ",46,44
20050104,87,三貂嶺,16,16
20050104,231,"大華  ",17,16
20050104,232,"十分  ",134,145
20050104,233,"望古  ",14,9
20050104,234,"嶺腳  ",23,19
20050104,235,"平溪  ",88,100
20050104,236,"菁桐  ",85,57
20050105,87,三貂嶺,23,16
20050105,231,"大華  ",10,10
20050105,232,"十分  ",139,157
20050105,233,"望古  ",6,6
20050105,234,"嶺腳  ",20,17
20050105,235,"平溪  ",103,80
20050105,236,"菁桐  ",65,64
20050106,87,三貂嶺,26,30
20050106,231,"大華  ",23,19
20050106,232,"十分  ",134,153
20050106,233,"望古  ",9,7
20050106,234,"嶺腳  ",27,37
20050106,235,"平溪  ",101,81
20050106,236,"菁桐  ",33,42
20050107,87,三貂嶺,17,25
20050107,231,"大華  ",22,15
20050107,232,"十分  ",165,202
20050107,233,"望古  ",16,9
20050107,234,"嶺腳  ",33,19
20050107,235,"平溪  ",120,122
20050107,236,"菁桐  ",40,20
20050108,87,三貂嶺,29,26
20050108,231,"大華  ",22,14
20050108,232,"十分  ",199,203
20050108,233,"望古  ",7,4
20050108,234,"嶺腳  ",40,25
20050108,235,"平溪  ",89,98
20050108,236,"菁桐  ",35,65
20050109,87,三貂嶺,31,27
20050109,231,"大華  ",17,13
20050109,232,"十分  ",201,223
20050109,233,"望古  ",10,6
20050109,234,"嶺腳  ",38,23
20050109,235,"平溪  ",102,80
20050109,236,"菁桐  ",104,106
20050110,87,三貂嶺,20,20
20050110,231,"大華  ",11,13
20050110,232,"十分  ",106,133
20050110,233,"望古  ",2,4
20050110,234,"嶺腳  ",36,28
20050110,235,"平溪  ",101,98
20050110,236,"菁桐  ",32,22
20050111,87,三貂嶺,1,2
20050111,231,"大華  ",12,5
20050111,232,"十分  ",29,55
20050111,233,"望古  ",8,1
20050111,234,"嶺腳  ",31,10
20050111,235,"平溪  ",33,28
20050111,236,"菁桐  ",29,16
20050112,87,三貂嶺,3,4
20050112,231,"大華  ",13,2
20050112,232,"十分  ",35,87
20050112,233,"望古  ",6,0
20050112,234,"嶺腳  ",18,3
20050112,235,"平溪  ",70,31
20050112,236,"菁桐  ",36,16
20050113,87,三貂嶺,0,2
20050113,231,"大華  ",15,3
20050113,232,"十分  ",27,50
20050113,233,"望古  ",4,5
20050113,234,"嶺腳  ",26,12
20050113,235,"平溪  ",78,35
20050113,236,"菁桐  ",21,17
20050114,87,三貂嶺,2,7
20050114,231,"大華  ",9,2
20050114,232,"十分  ",35,56
20050114,233,"望古  ",6,5
20050114,234,"嶺腳  ",21,9
20050114,235,"平溪  ",50,32
20050114,236,"菁桐  ",14,9
20050115,87,三貂嶺,4,12
20050115,231,"大華  ",17,6
20050115,232,"十分  ",34,122
20050115,233,"望古  ",9,0
20050115,234,"嶺腳  ",44,20
20050115,235,"平溪  ",24,28
20050115,236,"菁桐  ",32,26
20050116,87,三貂嶺,10,5
20050116,231,"大華  ",34,8
20050116,232,"十分  ",87,92
20050116,233,"望古  ",19,2
20050116,234,"嶺腳  ",35,17
20050116,235,"平溪  ",45,44
20050116,236,"菁桐  ",51,59
20050117,87,三貂嶺,0,16
20050117,231,"大華  ",17,3
20050117,232,"十分  ",33,73
20050117,233,"望古  ",3,5
20050117,234,"嶺腳  ",18,5
20050117,235,"平溪  ",31,32
20050117,236,"菁桐  ",60,22
20050118,87,三貂嶺,2,12
20050118,231,"大華  ",16,4
20050118,232,"十分  ",95,115
20050118,233,"望古  ",13,5
20050118,234,"嶺腳  ",30,14
20050118,235,"平溪  ",70,78
20050118,236,"菁桐  ",43,35
20050119,87,三貂嶺,30,21
20050119,231,"大華  ",12,10
20050119,232,"十分  ",140,221
20050119,233,"望古  ",12,8
20050119,234,"嶺腳  ",40,28
20050119,235,"平溪  ",92,100
20050119,236,"菁桐  ",75,30
20050120,87,三貂嶺,22,25
20050120,231,"大華  ",22,20
20050120,232,"十分  ",152,212
20050120,233,"望古  ",14,9
20050120,234,"嶺腳  ",42,22
20050120,235,"平溪  ",100,112
20050120,236,"菁桐  ",44,40
20050121,87,三貂嶺,15,21
20050121,231,"大華  ",21,19
20050121,232,"十分  ",239,259
20050121,233,"望古  ",14,11
20050121,234,"嶺腳  ",47,37
20050121,235,"平溪  ",159,100
20050121,236,"菁桐  ",55,54
20050122,87,三貂嶺,31,31
20050122,231,"大華  ",53,44
20050122,232,"十分  ",335,361
20050122,233,"望古  ",11,5
20050122,234,"嶺腳  ",50,24
20050122,235,"平溪  ",158,191
20050122,236,"菁桐  ",164,109
20050123,87,三貂嶺,32,30
20050123,231,"大華  ",39,35
20050123,232,"十分  ",346,301
20050123,233,"望古  ",16,9
20050123,234,"嶺腳  ",35,17
20050123,235,"平溪  ",172,188
20050123,236,"菁桐  ",180,204
20050124,87,三貂嶺,24,30
20050124,231,"大華  ",27,21
20050124,232,"十分  ",220,239
20050124,233,"望古  ",13,9
20050124,234,"嶺腳  ",49,32
20050124,235,"平溪  ",100,118
20050124,236,"菁桐  ",78,52
20050125,87,三貂嶺,29,32
20050125,231,"大華  ",24,19
20050125,232,"十分  ",196,376
20050125,233,"望古  ",12,6
20050125,234,"嶺腳  ",38,19
20050125,235,"平溪  ",143,127
20050125,236,"菁桐  ",202,70
20050126,87,三貂嶺,42,43
20050126,231,"大華  ",19,19
20050126,232,"十分  ",268,236
20050126,233,"望古  ",14,9
20050126,234,"嶺腳  ",46,23
20050126,235,"平溪  ",90,105
20050126,236,"菁桐  ",66,130
20050127,87,三貂嶺,40,33
20050127,231,"大華  ",66,18
20050127,232,"十分  ",235,345
20050127,233,"望古  ",16,7
20050127,234,"嶺腳  ",24,29
20050127,235,"平溪  ",96,85
20050127,236,"菁桐  ",152,121
20050128,87,三貂嶺,20,19
20050128,231,"大華  ",22,18
20050128,232,"十分  ",177,207
20050128,233,"望古  ",11,8
20050128,234,"嶺腳  ",46,34
20050128,235,"平溪  ",122,131
20050128,236,"菁桐  ",56,48
20050129,87,三貂嶺,35,44
20050129,231,"大華  ",16,16
20050129,232,"十分  ",349,379
20050129,233,"望古  ",10,11
20050129,234,"嶺腳  ",34,41
20050129,235,"平溪  ",214,229
20050129,236,"菁桐  ",144,146
20050130,87,三貂嶺,30,70
20050130,231,"大華  ",57,19
20050130,232,"十分  ",194,242
20050130,233,"望古  ",14,18
20050130,234,"嶺腳  ",33,22
20050130,235,"平溪  ",98,150
20050130,236,"菁桐  ",112,101
20050131,87,三貂嶺,21,15
20050131,231,"大華  ",17,12
20050131,232,"十分  ",133,177
20050131,233,"望古  ",9,8
20050131,234,"嶺腳  ",41,33
20050131,235,"平溪  ",128,105
20050131,236,"菁桐  ",55,75
20050201,87,三貂嶺,26,24
20050201,231,"大華  ",15,16
20050201,232,"十分  ",179,232
20050201,233,"望古  ",8,4
20050201,234,"嶺腳  ",45,27
20050201,235,"平溪  ",122,115
20050201,236,"菁桐  ",81,55
20050202,87,三貂嶺,20,20
20050202,231,"大華  ",21,15
20050202,232,"十分  ",169,225
20050202,233,"望古  ",9,4
20050202,234,"嶺腳  ",41,16
20050202,235,"平溪  ",108,111
20050202,236,"菁桐  ",29,44
20050203,87,三貂嶺,25,45
20050203,231,"大華  ",43,16
20050203,232,"十分  ",172,185
20050203,233,"望古  ",14,13
20050203,234,"嶺腳  ",41,31
20050203,235,"平溪  ",125,120
20050203,236,"菁桐  ",39,45
20050204,87,三貂嶺,25,18
20050204,231,"大華  ",31,26
20050204,232,"十分  ",237,237
20050204,233,"望古  ",17,12
20050204,234,"嶺腳  ",55,20
20050204,235,"平溪  ",157,174
20050204,236,"菁桐  ",43,82
20050205,87,三貂嶺,13,24
20050205,231,"大華  ",31,16
20050205,232,"十分  ",208,263
20050205,233,"望古  ",16,12
20050205,234,"嶺腳  ",22,20
20050205,235,"平溪  ",120,134
20050205,236,"菁桐  ",60,78
20050206,87,三貂嶺,32,27
20050206,231,"大華  ",47,36
20050206,232,"十分  ",252,291
20050206,233,"望古  ",10,14
20050206,234,"嶺腳  ",50,38
20050206,235,"平溪  ",154,215
20050206,236,"菁桐  ",106,105
20050207,87,三貂嶺,15,13
20050207,231,"大華  ",24,16
20050207,232,"十分  ",265,318
20050207,233,"望古  ",7,9
20050207,234,"嶺腳  ",39,34
20050207,235,"平溪  ",138,140
20050207,236,"菁桐  ",86,99
20050208,87,三貂嶺,10,11
20050208,231,"大華  ",20,19
20050208,232,"十分  ",121,198
20050208,233,"望古  ",3,12
20050208,234,"嶺腳  ",36,36
20050208,235,"平溪  ",71,108
20050208,236,"菁桐  ",53,44
20050209,87,三貂嶺,22,33
20050209,231,"大華  ",43,20
20050209,232,"十分  ",511,464
20050209,233,"望古  ",5,5
20050209,234,"嶺腳  ",36,15
20050209,235,"平溪  ",256,358
20050209,236,"菁桐  ",190,200
20050210,87,三貂嶺,27,23
20050210,231,"大華  ",28,45
20050210,232,"十分  ",452,454
20050210,233,"望古  ",18,6
20050210,234,"嶺腳  ",64,47
20050210,235,"平溪  ",321,270
20050210,236,"菁桐  ",156,225
20050211,87,三貂嶺,36,55
20050211,231,"大華  ",41,40
20050211,232,"十分  ",683,427
20050211,233,"望古  ",21,20
20050211,234,"嶺腳  ",47,27
20050211,235,"平溪  ",240,306
20050211,236,"菁桐  ",178,345
20050212,87,三貂嶺,56,50
20050212,231,"大華  ",52,25
20050212,232,"十分  ",633,552
20050212,233,"望古  ",10,9
20050212,234,"嶺腳  ",32,13
20050212,235,"平溪  ",408,425
20050212,236,"菁桐  ",199,343
20050213,87,三貂嶺,19,9
20050213,231,"大華  ",42,13
20050213,232,"十分  ",335,314
20050213,233,"望古  ",16,10
20050213,234,"嶺腳  ",50,27
20050213,235,"平溪  ",216,214
20050213,236,"菁桐  ",132,183
20050214,87,三貂嶺,18,16
20050214,231,"大華  ",34,23
20050214,232,"十分  ",197,216
20050214,233,"望古  ",15,9
20050214,234,"嶺腳  ",46,26
20050214,235,"平溪  ",184,204
20050214,236,"菁桐  ",82,103
20050215,87,三貂嶺,20,21
20050215,231,"大華  ",27,29
20050215,232,"十分  ",247,237
20050215,233,"望古  ",23,20
20050215,234,"嶺腳  ",36,33
20050215,235,"平溪  ",148,209
20050215,236,"菁桐  ",94,70
20050216,87,三貂嶺,28,17
20050216,231,"大華  ",24,17
20050216,232,"十分  ",231,309
20050216,233,"望古  ",13,9
20050216,234,"嶺腳  ",37,27
20050216,235,"平溪  ",151,164
20050216,236,"菁桐  ",68,53
20050217,87,三貂嶺,20,21
20050217,231,"大華  ",16,12
20050217,232,"十分  ",203,198
20050217,233,"望古  ",6,5
20050217,234,"嶺腳  ",41,23
20050217,235,"平溪  ",129,167
20050217,236,"菁桐  ",46,41
20050218,87,三貂嶺,4,3
20050218,231,"大華  ",17,13
20050218,232,"十分  ",210,233
20050218,233,"望古  ",15,17
20050218,234,"嶺腳  ",24,25
20050218,235,"平溪  ",129,114
