Date,out,in,,,
2000/1/1,617303,621061,,,
2000/2/1,648039,653522,,,
2000/3/1,624409,627259,,,
2000/4/1,598726,615706,,,
2000/5/1,653237,649169,,,
2000/6/1,649765,666286,,,
2000/7/1,739624,739068,,,
2000/8/1,731872,731298,,,
2000/9/1,707991,699108,,,
2000/10/1,723866,717024,,,
2000/11/1,834838,807664,,,
2000/12/1,807256,801285,,,
2001/1/1,863188,853310,,,
2001/2/1,856220,851849,,,
2001/3/1,831615,832843,,,
2001/4/1,800812,801248,,,
2001/5/1,834068,834538,,,
2001/6/1,842389,839548,,,
2001/7/1,911036,912624,,,
2001/8/1,956570,958530,,,
2001/9/1,575416,557392,,,
2001/10/1,527287,461992,,,
2001/11/1,1006911,883586,,,
2001/12/1,1019266,966018,,,
2002/1/1,837592,926056,,,
2002/2/1,915117,889042,,,
2002/3/1,873179,865588,,,
2002/4/1,831658,836004,,,
2002/5/1,998250,873020,,,
2002/6/1,1022688,868711,,,
2002/7/1,1183286,1011707,,,
2002/8/1,1157304,1028304,,,
2002/9/1,966072,839807,,,
2002/10/1,997409,930085,,,
2002/11/1,1160406,1026448,,,
2002/12/1,1080033,982423,,,
2003/1/1,1084659,1014633,,,
2003/2/1,955150,942070,,,
2003/3/1,930063,941340,,,
2003/4/1,816764,822573,,,
2003/5/1,526679,528841,,,
2003/6/1,686377,691373,,,
2003/7/1,912934,926196,,,
2003/8/1,948883,961700,,,
2003/9/1,850125,857363,,,
2003/10/1,908238,911013,,,
2003/11/1,970026,972823,,,
2003/12/1,934889,935213,,,
2004/1/1,984604,979324,,,
2004/2/1,958971,963620,,,
2004/3/1,925179,936879,,,
2004/4/1,890190,892220,,,
2004/5/1,926910,927455,,,
2004/6/1,908414,911080,,,
2004/7/1,1045735,1042850,,,
2004/8/1,979883,979222,,,
2004/9/1,909568,917215,,,
2004/10/1,943489,940471,,,
2004/11/1,1081838,1062045,,,
2004/12/1,994227,997223,,,
2005/1/1,1032927,1033353,,,
2005/2/1,962764,956762,,,
2005/3/1,1020590,1024694,,,
2005/4/1,953202,954444,,,
2005/5/1,980716,987528,,,
2005/6/1,964954,969696,,,
2005/7/1,1053296,1056644,,,
2005/8/1,1066325,1067587,,,
2005/9/1,935484,932397,,,
2005/10/1,976462,966310,,,
2005/11/1,1095575,1068914,,,
2005/12/1,1051235,1040082,,,
2006/1/1,1028106,1014896,,,
2006/2/1,978272,967587,,,
2006/3/1,987906,985391,,,
2006/4/1,926556,922870,,,
2006/5/1,978958,978563,,,
