Date,out,in,station,,
2000/1/1,617303,621061, 忠孝復興站,,
2000/2/1,648039,653522, 忠孝復興站,,
2000/3/1,624409,627259, 忠孝復興站,,
2000/4/1,598726,615706, 忠孝復興站,,
2000/5/1,653237,649169, 忠孝復興站,,
2000/6/1,649765,666286, 忠孝復興站,,
2000/7/1,739624,739068, 忠孝復興站,,
2000/8/1,731872,731298, 忠孝復興站,,
2000/9/1,707991,699108, 忠孝復興站,,
2000/10/1,723866,717024, 忠孝復興站,,
2000/11/1,834838,807664, 忠孝復興站,,
2000/12/1,807256,801285, 忠孝復興站,,
2001/1/1,863188,853310, 忠孝復興站,,
2001/2/1,856220,851849, 忠孝復興站,,
2001/3/1,831615,832843, 忠孝復興站,,
2001/4/1,800812,801248, 忠孝復興站,,
2001/5/1,834068,834538, 忠孝復興站,,
2001/6/1,842389,839548, 忠孝復興站,,
2001/7/1,911036,912624, 忠孝復興站,,
2001/8/1,956570,958530, 忠孝復興站,,
2001/9/1,575416,557392, 忠孝復興站,,
2001/10/1,527287,461992, 忠孝復興站,,
2001/11/1,1006911,883586, 忠孝復興站,,
2001/12/1,1019266,966018, 忠孝復興站,,
2002/1/1,837592,926056, 忠孝復興站,,
2002/2/1,915117,889042, 忠孝復興站,,
2002/3/1,873179,865588, 忠孝復興站,,
2002/4/1,831658,836004, 忠孝復興站,,
2002/5/1,998250,873020, 忠孝復興站,,
2002/6/1,1022688,868711, 忠孝復興站,,
2002/7/1,1183286,1011707, 忠孝復興站,,
2002/8/1,1157304,1028304, 忠孝復興站,,
2002/9/1,966072,839807, 忠孝復興站,,
2002/10/1,997409,930085, 忠孝復興站,,
2002/11/1,1160406,1026448, 忠孝復興站,,
2002/12/1,1080033,982423, 忠孝復興站,,
2003/1/1,1084659,1014633, 忠孝復興站,,
2003/2/1,955150,942070, 忠孝復興站,,
2003/3/1,930063,941340, 忠孝復興站,,
2003/4/1,816764,822573, 忠孝復興站,,
2003/5/1,526679,528841, 忠孝復興站,,
2003/6/1,686377,691373, 忠孝復興站,,
2003/7/1,912934,926196, 忠孝復興站,,
2003/8/1,948883,961700, 忠孝復興站,,
2003/9/1,850125,857363, 忠孝復興站,,
2003/10/1,908238,911013, 忠孝復興站,,
2003/11/1,970026,972823, 忠孝復興站,,
2003/12/1,934889,935213, 忠孝復興站,,
2004/1/1,984604,979324, 忠孝復興站,,
2004/2/1,958971,963620, 忠孝復興站,,
2004/3/1,925179,936879, 忠孝復興站,,
2004/4/1,890190,892220, 忠孝復興站,,
2004/5/1,926910,927455, 忠孝復興站,,
2004/6/1,908414,911080, 忠孝復興站,,
2004/7/1,1045735,1042850, 忠孝復興站,,
2004/8/1,979883,979222, 忠孝復興站,,
2004/9/1,909568,917215, 忠孝復興站,,
2004/10/1,943489,940471, 忠孝復興站,,
2004/11/1,1081838,1062045, 忠孝復興站,,
2004/12/1,994227,997223, 忠孝復興站,,
2005/1/1,1032927,1033353, 忠孝復興站,,
2005/2/1,962764,956762, 忠孝復興站,,
2005/3/1,1020590,1024694, 忠孝復興站,,
2005/4/1,953202,954444, 忠孝復興站,,
2005/5/1,980716,987528, 忠孝復興站,,
2005/6/1,964954,969696, 忠孝復興站,,
2005/7/1,1053296,1056644, 忠孝復興站,,
2005/8/1,1066325,1067587, 忠孝復興站,,
2005/9/1,935484,932397, 忠孝復興站,,
2005/10/1,976462,966310, 忠孝復興站,,
2005/11/1,1095575,1068914, 忠孝復興站,,
2005/12/1,1051235,1040082, 忠孝復興站,,
2006/1/1,1028106,1014896, 忠孝復興站,,
2006/2/1,978272,967587, 忠孝復興站,,
2006/3/1,987906,985391, 忠孝復興站,,
2006/4/1,926556,922870, 忠孝復興站,,
2006/5/1,978958,978563, 忠孝復興站,,
2006/6/1,999905,1005018, 忠孝復興站,,
2006/7/1,1066333,1066679, 忠孝復興站,,
2006/8/1,1107691,1108333, 忠孝復興站,,
2006/9/1,999135,999913, 忠孝復興站,,
2006/10/1,975625,980006, 忠孝復興站,,
2006/11/1,1140242,1119266, 忠孝復興站,,
2006/12/1,1124553,1119774, 忠孝復興站,,
2007/1/1,1250932,1255764, 忠孝復興站,,
2007/2/1,1168844,1153493, 忠孝復興站,,
2007/3/1,1186587,1189754, 忠孝復興站,,
2007/4/1,1101695,1101205, 忠孝復興站,,
2007/5/1,1146882,1148314, 忠孝復興站,,
2007/6/1,1123676,1138047, 忠孝復興站,,
2007/7/1,1290770,1302150, 忠孝復興站,,
2007/8/1,1260771,1269101, 忠孝復興站,,
2007/9/1,1137831,1142854, 忠孝復興站,,
2007/10/1,1128029,1132565, 忠孝復興站,,
2007/11/1,1377307,1365761, 忠孝復興站,,
2007/12/1,1273092,1282329, 忠孝復興站,,
2008/1/1,1261411,1274410, 忠孝復興站,,
2008/2/1,1303857,1307646, 忠孝復興站,,
2008/3/1,1267814,1275049, 忠孝復興站,,
2008/4/1,1176434,1181389, 忠孝復興站,,
